-30,115
-30,120
-30,125
-30,130
-30,135
-30,140
-30,145
-30,150
-30,155
-30,160
-30,165
-30,170
-10,170
-10,175
-10,180
-10,185
-10,190
-10,195
-73,10
-68,10
-63,10
-58,10
-53,10
-48,10
-43,10
-38,10
-33,10
-28,10
10,135
10,140
10,145
10,150
10,155
10,160
10,165
10,170
10,175
10,180
10,10
10,15
10,20
50,175
50,180
50,185
50,190
50,195
85,175
85,180
85,185
85,190
85,195
55,160
60,160
65,160
70,160
75,160
80,160
85,160
65,120
65,125
65,130
65,135
65,140
65,145
65,150
65,155
65,160
65,165
65,170
65,175
65,180
65,185
10,10
60,40
60,45
60,50
60,55
60,25
60,30
60,35
30,115
30,120
30,125
30,130
30,135
30,140
30,145
30,150
30,155
30,160
5,-180
5,-175
5,-170
5,-165
5,-160
5,-155
5,-150
5,-145
5,-140
30,-35
35,-35
40,-35
45,-35
50,-35
55,-35
36,-35
36,-30
36,-25
36,-20
56,-35
56,-30
56,-25
56,-20
76,-55
-60,-120
-55,-120
-50,-120
-45,-120
-40,-120
-90,-180
-90,-175
-90,-170
-90,-165
-90,-160
-90,-155
-90,-120
-90,-115
-90,-110
-90,-105
-90,-100
-90,-95
-90,-90
-90,-85
-90,-80
-50,-160
-45,-160
-40,-160
-35,-160
-30,-160
40,-140
45,-140
50,-140
55,-140
60,-140
65,-140
50,-160
55,-160
60,-160
20,-180
25,-180
30,-180
35,-180
40,-180
45,-180
50,-180
55,-180
-20,-140
-15,-140
-70,-180
-70,-175
-70,-170
-70,-165
-70,-160
80,-170
80,-165
80,-160
80,-155
80,-150
80,-145
80,-140
80,-125
80,-120
80,-115
80,-110
80,-105
80,-100
80,-95
80,-90
-70,-60
-65,-60
-60,-60
-55,-60
-50,-60
-70,-30
-65,-30
15,-5
20,-5
25,-5
-10,-20
-5,-20
0,-20
5,-20
5,-85
5,-80
5,-75
40,181
30,70
35,70
40,70
45,70
5,-5
10,-5
30,-5
35,-5
-40,-5
-35,-5
-30,-5
-25,-5
-20,-5
-15,-5
30,25
35,25
40,25
45,25
50,25
55,25
60,25
65,25
70,25
75,25
80,25
